epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,597.778,1.15195,1.76728,1.29047,0.81209,0.81619,0.8764,0.61061,1.15199,1.16277,1.29855,0.000275697,0.000275697,0.000275697
2,1049.26,1.03705,0.92745,1.20276,0.88571,0.78491,0.87749,0.62183,1.12682,1.04247,1.31198,0.000542407,0.000542407,0.000542407
3,1497.91,1.03905,0.88303,1.2072,0.86511,0.81314,0.86627,0.6091,1.12627,1.02072,1.3551,0.000798122,0.000798122,0.000798122
4,1924.36,0.99192,0.81444,1.18677,0.88905,0.82617,0.90597,0.6322,1.07948,0.91606,1.26789,0.00078352,0.00078352,0.00078352
5,2389.09,0.98748,0.80543,1.17915,0.88698,0.84799,0.91979,0.66685,1.05151,0.77983,1.23594,0.000767026,0.000767026,0.000767026
6,2563.56,0.95366,0.7482,1.15456,0.90152,0.82733,0.9167,0.67379,1.01393,0.78379,1.24565,0.000750533,0.000750533,0.000750533
7,2729.54,0.937,0.71258,1.14843,0.91202,0.86335,0.93597,0.70185,0.98586,0.68084,1.19476,0.00073404,0.00073404,0.00073404
8,2909.81,0.91741,0.68612,1.13367,0.90483,0.87585,0.93822,0.69945,0.94944,0.66208,1.17138,0.000717546,0.000717546,0.000717546
9,3134.11,0.90141,0.67879,1.12838,0.90455,0.87339,0.93779,0.70766,0.94912,0.66538,1.15923,0.000701053,0.000701053,0.000701053
10,3608.46,0.8821,0.6401,1.11348,0.91954,0.87899,0.93627,0.71045,0.94278,0.63634,1.16072,0.000684559,0.000684559,0.000684559
11,4082.69,0.87573,0.63724,1.10739,0.927,0.86987,0.9352,0.70904,0.94102,0.63463,1.15275,0.000668066,0.000668066,0.000668066
12,4548.29,0.86859,0.6142,1.10981,0.91776,0.89547,0.94783,0.70532,0.96607,0.60231,1.16851,0.000651573,0.000651573,0.000651573
13,4999.35,0.85103,0.59962,1.10222,0.9331,0.89165,0.94642,0.72044,0.92331,0.59932,1.13377,0.000635079,0.000635079,0.000635079
14,5503.69,0.83406,0.58678,1.08709,0.93489,0.8977,0.95193,0.73187,0.90511,0.57671,1.1142,0.000618586,0.000618586,0.000618586
15,5993.1,0.8167,0.56354,1.07441,0.92956,0.90972,0.95618,0.73796,0.90465,0.56743,1.12604,0.000602092,0.000602092,0.000602092
16,6462.86,0.79888,0.55362,1.07177,0.92656,0.90562,0.95528,0.73147,0.89963,0.54425,1.11445,0.000585599,0.000585599,0.000585599
17,6903.29,0.81002,0.54831,1.06592,0.94408,0.89319,0.95515,0.73876,0.90202,0.54339,1.12031,0.000569106,0.000569106,0.000569106
18,7367.28,0.79605,0.53956,1.06196,0.94131,0.91007,0.96048,0.74762,0.86458,0.5344,1.09091,0.000552612,0.000552612,0.000552612
19,7821.22,0.79703,0.54229,1.06626,0.94486,0.90466,0.96021,0.74911,0.88635,0.53219,1.11185,0.000536119,0.000536119,0.000536119
20,8291.41,0.78873,0.51341,1.0503,0.93581,0.91443,0.95901,0.7465,0.8755,0.52455,1.09572,0.000519625,0.000519625,0.000519625
21,8754.69,0.78829,0.51692,1.05312,0.9496,0.9111,0.96096,0.75615,0.85036,0.51132,1.07624,0.000503132,0.000503132,0.000503132
22,9130.02,0.77407,0.5078,1.04186,0.94432,0.92305,0.96739,0.76372,0.85042,0.47638,1.08135,0.000486639,0.000486639,0.000486639
23,9619.49,0.75019,0.49108,1.03669,0.93308,0.93412,0.966,0.76489,0.8472,0.49599,1.08341,0.000470145,0.000470145,0.000470145
24,10090.5,0.74459,0.47738,1.03368,0.94699,0.93118,0.96688,0.76384,0.83843,0.47308,1.08087,0.000453652,0.000453652,0.000453652
25,10554.5,0.73859,0.47369,1.02943,0.93682,0.93087,0.96741,0.76275,0.84176,0.48606,1.08163,0.000437158,0.000437158,0.000437158
26,11038.1,0.73608,0.48045,1.03755,0.95234,0.90184,0.96221,0.76615,0.8255,0.48818,1.07009,0.000420665,0.000420665,0.000420665
27,11497.2,0.73044,0.46898,1.03375,0.94465,0.92442,0.96937,0.76913,0.82193,0.47533,1.06185,0.000404172,0.000404172,0.000404172
28,11954.1,0.72505,0.46229,1.02187,0.95225,0.93949,0.96845,0.77207,0.81636,0.45512,1.05916,0.000387678,0.000387678,0.000387678
29,12392.4,0.71104,0.44307,1.01404,0.96108,0.91449,0.97133,0.7827,0.80386,0.44653,1.05122,0.000371185,0.000371185,0.000371185
30,12810.1,0.70428,0.43835,1.01436,0.9514,0.94136,0.97172,0.77928,0.80833,0.43249,1.04579,0.000354691,0.000354691,0.000354691
31,13240.3,0.70208,0.43507,1.01308,0.96189,0.93881,0.97055,0.7815,0.80131,0.43684,1.05412,0.000338198,0.000338198,0.000338198
